Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,1,200,24.48,12.5,12.5,12.5,12.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,1.450546167,1
total rna,1,200,24.48,12.5,12.5,12.5,12.5,0,46,2,40,1,1,130,230,180,180,1.00E-09,1.934061556,1
total rna,1,200,24.48,12.5,12.5,12.5,12.5,0,54,2,40,1,1,130,230,180,180,1.00E-09,3.529662339,1
total rna,1,200,24.48,12.5,12.5,12.5,12.5,0,62,2,40,1,1,130,230,180,180,1.00E-09,3.626365417,1
total rna,1,200,24.48,12.5,12.5,12.5,12.5,0,70,2,40,1,1,130,230,180,180,1.00E-09,3.191201567,1
total rna,1,200,24.48,15,15,15,15,0,14,2,40,1,1,130,230,180,180,1.00E-09,1.208788472,1
total rna,1,200,24.48,15,15,15,15,0,22,2,40,1,1,130,230,180,180,1.00E-09,1.353843089,1
total rna,1,200,24.48,15,15,15,15,0,30,2,40,1,1,130,230,180,180,1.00E-09,1.112085395,1
total rna,1,200,24.48,15,15,15,15,0,38,2,40,1,1,130,230,180,180,1.00E-09,1.402194628,1
total rna,1,200,24.48,15,15,15,15,0,46,2,40,1,1,130,230,180,180,1.00E-09,1.498897706,1
total rna,1,200,24.48,15,15,15,15,0,54,2,40,1,1,130,230,180,180,1.00E-09,1.789006939,1
total rna,1,200,24.48,15,15,15,15,0,62,2,40,1,1,130,230,180,180,1.00E-09,2.17581925,1
total rna,1,200,24.48,15,15,15,15,0,70,2,40,1,1,130,230,180,180,1.00E-09,2.465928484,1
total rna,"(0.157035176, 0.329773869, 0.5, 1.0, 1.5, 2.0)",200,24.48,10,10,10,10,0,46,2,40,1,1,130,230,180,180,1.00E-09,"(1.41090915, 3.426493649, 5.509264298, 11.35445935, 20.08865884, 27.54632149)",1
total rna,"(0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0)",200,24.48,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(10.749784, 16.72935134, 23.91826939, 30.83844284, 31.17437359, 33.66026114, 34.53368109, 33.99619189)",1
total rna,"(0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(14.780953, 27.14320459, 29.76346444, 33.59307499, 32.78684119, 32.71965504, 35.13835644, 35.27272874)",1
total rna,"(0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0)",300,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(16.93090979, 28.48692759, 31.77904894, 31.04000129, 31.98060739, 34.80242569, 36.01177639, 36.81801019)",1
total rna,"(1.0, 2.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(33.55751686, 35.12675326)",1
total rna,"(1.0, 2.0, 3.0)",200,48.96,11.5,11.5,11.5,11.5,0,54,2,40,1,1,130,230,180,180,1.00E-09,"(6.397656092, 13.51957514, 28.2462552)",1
total rna,"(1.0, 2.0, 3.0)",200,48.96,13.5,13.5,13.5,13.5,0,54,2,40,1,1,130,230,180,180,1.00E-09,"(1.689946892, 2.172788861, 3.379893784)",1
